Term,TF-IDF
pre,97.6514214811861
central,97.2018464807705
physician,96.75503523583279
remains,96.61461279525847
frontal,96.29704834632199
rightsided,96.1978051979313
significant,96.15752138307865
failure,95.99736440879734
removal,94.32259629737428
hemorrhage,94.10974270022676
well,93.83823410441306
may,93.61631621257457
opacification,93.5961397418177
endotracheal,92.72532118750102
svc,92.2763895814008
place,90.98560839057633
shift,90.38944860713288
known,89.98323118812547
emphysema,89.21337169013354
without,87.76762504460528
mid,87.53138484461545
abdomen,87.5291023284809
disease,87.1461617581361
pna,86.68966473142741
due,86.2675035469137
moderate,86.22924569083261
obtained,85.36469018905632
recent,85.28215246005553
et,84.913639204473
cardiac,84.7435718805584
respiratory,83.97315542330982
earlier,83.95547576335322
slightly,83.87052025046397
images,83.82430507809393
exam,83.22426846599154
process,83.14540366059363
two,82.98902507979676
multiple,82.83677066668159
lat,82.6937224371578
subcutaneous,82.36959848401511
cell,82.2825167958256
volume,81.83635172751865
middle,80.88770768754866
carina,80.30153688202473
appears,79.72328455389169
technique,79.54433581294437
wo,79.3261508892013
film,79.09930212973757
stent,79.01192558126196
subclavian,78.46857863580142
lesions,78.02928974396983
wall,77.96298840366892
region,77.65956664458288
interstitial,76.91782600591985
ett,76.69098693323285
performed,76.66021337084278
mm,76.04897761497851
ng,75.93497692341836
intubated,74.63851721767575
leftsided,74.27143909997307
aspiration,74.10500355961707
increase,73.07562444978008
evaluation,72.65252794284034
stomach,72.33749837701563
extensive,72.29924109257576
venous,72.21502207025915
obstruction,72.19291080600858
structures,72.03066309073753
chf,70.9652044192675
tumor,70.79204010831832
represent,69.78349077136727
unremarkable,69.6278284535401
silhouette,69.48072750263681
bronchus,68.99651682842892
clinical,68.55116376188393
mediastinum,68.26942758153001
could,67.96652478850059
vein,67.77917275060314
hypoxia,67.26235880007667
improved,67.15151920804281
contraindications,66.67076431397585
day,66.61975428581849
artery,65.79957182203702
amount,65.71858618855133
dr,65.42307465181636
dvt,64.74408673147313
slight,64.74384764559458
vascular,64.71186027977585
visualized,64.6006818153801
upright,64.28456505795391
decreased,64.01818331648371
lungs,63.733300593474056
amt,63.54336461241312
hours,63.47026763756761
contours,63.43595589297074
loss,63.34829615483672
previously,63.18696981346304
doctor,63.13365905162099
ij,62.95740291024541
associated,62.69476579032732
pelvis,62.38874792218754
nasogastric,62.27934731351932
stitle,61.89908057295949
thoracic,61.866025236113046
pericardial,61.74407977897313
casda,61.71733319149282
postoperative,61.31730633133994
level,60.75937385742584
one,60.47433596896212
different,60.22946028188233
approximately,60.22089107287317
intracranial,60.16529439883906
main,59.898551283426286
soft,59.7934344010168
basilar,59.599183861307075
area,59.50934884598363
posterior,58.88166264366437
pain,58.53901961687273
breath,58.388502580164634
diffuse,58.089285510914415
optiray,57.573404690133124
improvement,57.51156462809882
veins,57.492194031368065
otherwise,57.26122576339116
apex,57.213880221196504
midline,56.77869647107516
intubation,56.7418992115082
focal,56.54463370859096
jugular,56.388117046637255
xray,56.366598548242195
demonstrated,56.31526831976591
residual,56.1617618086358
superior,56.03937153451291
removed,55.851528829273555
mr,55.69132085682564
rul,55.483223376294944
dated,55.20088879747485
surgical,55.15781824558534
aeration,54.698091404663316
patchy,54.49170844124569
pe,54.457251485980116
sided,53.89495065625148
vats,53.604807284493454
internal,53.33212749508902
fever,53.14551069339726
mets,53.022243333073106
side,52.9179377318668
density,52.88615216500809
lymphadenopathy,52.86663740804062
cardiomediastinal,52.65524020594505
remain,52.609120315438034
spine,52.5676197261886
zone,52.41529208852594
axial,52.27604297762539
read,52.1246873051524
possible,52.09007727079046
increasing,51.86954729920045
shortness,51.716248639072894
areas,51.51815574825107
distal,51.507837060113715
copd,51.46967189681492
liver,51.466773774206935
check,51.4590987834417
mri,51.33480989565629
bowel,51.321069006212014
hemidiaphragm,50.72600651206602
cancersda,50.22767502950198
wet,50.01036421764835
thickening,49.997259728484735
along,49.99142063404449
cerebellar,49.95418908089591
port,49.92848528107454
supine,49.90464799923468
thoracotomy,49.69234334154496
free,49.665806521002786
bronch,49.63863256773025
bronchoscopy,49.60973610530111
distress,49.49731138793602
loculated,49.37747008964629
terminates,49.18500801101787
hemoptysis,49.04503414046677
however,48.95767583269811
wcontrast,48.82308761525164
sob,48.43727083686911
perihilar,48.2588026604649
tissue,48.072687676691025
complete,47.98423987009088
excluded,47.740314358494494
appear,47.63006112329999
enlarged,47.55416000386863
osseous,47.53773579602236
adjacent,46.77652057013733
minimal,46.734138934921944
retrocardiac,46.6565078490395
probably,46.628938550073215
procedure,46.50052782268843
grossly,46.339182904693075
progression,46.281803808339205
radiographs,46.26806534433389
basal,45.92603010421102
effect,45.83172892082465
field,45.76771957466467
low,45.69755933698213
placed,45.49731636413714
parenchymal,45.48719829647592
nodule,45.13444566032149
nsclc,45.02852132722309
bleed,45.01591350652688
infection,44.50685359630772
collection,44.46473818716192
views,44.43423391139414
concerning,44.41693442319339
fracture,44.24432742247395
space,44.2084996607639
limited,43.97809973639582
gas,43.93646184283229
male,43.92383592635116
followup,43.84209903521132
postobstructive,43.49234970887352
nodules,43.47892988264513
following,43.405639036919894
note,43.39169080413124
changed,43.31750781771394
similar,43.314670912676135
cta,43.30246662536845
satisfactory,43.18732955697706
compression,43.18344870523687
hydropneumothorax,43.15318886623541
severe,42.77813363150019
tracheostomy,42.686653784544255
overall,42.21275585061672
junction,41.85045824082467
femoral,41.84486116264891
lymph,41.754552559227626
masses,41.6431254481676
portion,41.4880702278
limits,41.438239134305114
measuring,41.37363999811543
continued,41.31191884505973
abdominal,41.2050561619049
bronchial,41.193292807818125
bibasilar,41.15675529811019
lul,41.031880310308786
patients,40.96099426810241
cc,40.355348874794366
yo,40.34956820598779
aorta,40.22621529855547
anterior,40.09968535992508
rib,39.94337627184411
decrease,39.805699577455364
still,39.69721682731757
thoracentesis,39.569793863781044
pulm,39.25660276601113
underlying,39.23340044228177
infiltrates,39.11665512088129
enhancement,39.092473043618384
overlying,39.05995827715698
rll,38.65783869860074
carcinoma,38.63603284111803
cxr,38.54885677354528
definite,38.52190487272193
extremity,38.306345457425046
renal,38.178052486442404
costophrenic,38.12434566986666
prominent,37.97972628010498
surrounding,37.917950995043384
wedge,37.79842083946681
involving,37.58513644186927
biopsy,37.44506195797853
chronic,37.358083322180406
female,37.29825575706367
proximal,37.179752495646625
metastases,37.102482263595675
demonstrates,37.04375448704687
better,36.98478905165917
expansion,36.929339342533936
tiny,36.63282987628722
neck,36.546064588325365
lobes,36.197591702613366
angle,36.099213275787505
congestion,35.98614557459175
discussed,35.8883683546368
given,35.8654336024503
studies,35.78752172855339
related,35.7676844469518
scan,35.67040442576386
enhancing,35.61435159203236
drain,35.54744075542644
nonsmall,35.42411455909203
secondary,35.380719816878454
nodulesda,35.251181542719245
metastasis,35.16622688950633
un,34.95205626174192
cont,34.91744759823833
persists,34.904992565338055
identifier,34.90200423262928
numeric,34.90200423262928
standard,34.86437070137658
flow,34.7559230168975
overload,34.4575016045333
although,34.432206885934235
location,34.39634815761876
expected,34.395689518531
parietal,34.240595395407595
ngt,34.21200928305967
recommended,34.0832602560673
cardiomegaly,34.00309167126037
ho,33.94747076409555
white,33.88013885242013
throughout,33.85025434978455
terminating,33.677029238581056
trachea,33.608343565557
lines,33.502802010184936
significantly,33.49925074578811
marked,33.35322540494301
nodes,33.28459739958216
blood,33.27144726745087
date,33.216624781983214
pt,33.18706601778713
wwo,33.15140219681394
airway,32.992730359360905
time,32.91932590996827
elevation,32.88559980738842
representing,32.830875986264125
ventricle,32.56702806138626
image,32.551852891983195
vertebral,32.373080231166206
measures,32.37166363332804
extent,32.35233700099401
described,32.327886498255026
provisional,32.28796036000556
bone,32.27217612341579
bilaterally,32.24452932399556
multifocal,32.18901485273824
rule,32.1812100668551
advanced,32.152281838575405
less,32.05377020631
little,32.014741222026686
malignancy,31.963705264050894
back,31.9563327952051
question,31.91233886372281
tracheal,31.806372653268568
mental,31.797643436927412
component,31.75909011661605
greater,31.717033664827696
including,31.69126151733889
demonstrate,31.690309032044443
partial,31.629477038113283
diaphragm,31.580893220065477
vs,31.415896668322738
feeding,31.331438224306236
water,31.22405945746198
clips,31.199013706017862
intravenous,31.15370482639298
volumes,30.961807860784003
body,30.868181528393286
stem,30.78911606807399
vena,30.598110398329375
pattern,30.597999339834928
prominence,30.412097125351558
degree,30.326348485108777
med,30.316326684333916
cavity,30.16964536225342
extending,30.10126514433989
airspace,30.01077452262261
postsurgical,29.982608904123747
hematoma,29.948712363979293
surgery,29.938436246594975
available,29.92643469521425
sagittal,29.90406561825647
reexpansion,29.89475039885589
pigtail,29.878537973162143
pls,29.876516766880762
difficult,29.81652836681565
cava,29.74774967416124
hilum,29.608018787717857
imaging,29.422138783673898
administration,29.397273632878637
superimposed,29.31454557834395
suggesting,29.265298677486218
essentially,29.200615386626332
cough,29.141784458341025
seal,29.043831292465146
abnormality,29.023908594229027
positioning,28.948409256167807
hypotension,28.920540820695788
probable,28.861982461957464
craniotomy,28.790500261375524
markings,28.75401894796273
patent,28.7418737166685
cord,28.73540812020668
nodular,28.660986559381588
sinuses,28.64583402891096
aerated,28.586263389131574
aortic,28.46699902902823
today,28.441902387308165
ultrasound,28.315978843786656
noncontrast,28.195386217853663
remaining,28.150140380069143
enlargement,28.1499957483564
abnormalities,28.0788599316478
bases,28.002575710124965
embolism,27.99379128635836
node,27.975911225417867
adrenal,27.949009791875618
calcifications,27.72945591741269
preop,27.719235385469894
lll,27.71909584173271
vasogenic,27.70029225829437
partially,27.631186949855866
og,27.60470082759872
congestive,27.568010585916067
service,27.544906313969012
elevated,27.511664042238905
spinal,27.361290488673543
additional,27.355207567008748
semiupright,27.28570986923596
focus,27.274529267038623
inferior,27.120534975854067
suggestive,27.06973400241349
age,27.04359618584896
allowing,26.96082724433132
common,26.943949565340386
magnevist,26.933346279621386
layering,26.88820696920986
development,26.82765844511927
paratracheal,26.81951361384098
site,26.768509623128548
segment,26.75402747776151
fistula,26.75297034479731
versus,26.59756990068832
matter,26.585106010512174
shows,26.533741005651954
combination,26.438199322559278
comparisons,26.437528764080742
degenerative,26.408181321608748
perform,26.332585704608583
non,26.16679739381666
abnormal,26.13389591753923
tissues,26.122752888805536
represents,26.11138958633821
ventricles,26.099111753726948
obstructive,25.943420811517534
newly,25.940956006810033
vasculature,25.872517394947614
current,25.8179774192655
suspicious,25.81073117787319
cvl,25.73871034066702
postop,25.68905107531668
contour,25.676629829852057
cervical,25.654348827940254
ends,25.57845312756306
dense,25.559646419626958
tsurg,25.552555327759723
occipital,25.47005304732406
linear,25.465353951469528
reviewed,25.423319248911454
primary,25.383698458925238
normally,25.267345959165016
aspect,25.15981448812752
resolution,25.123314354617282
though,25.109184694698886
pneumo,25.088713342077963
differences,25.074101101950315
several,25.044552446344763
fields,24.969986403943352
hydrocephalus,24.94464027725043
kidney,24.889551984009767
possibly,24.860508204176416
none,24.843973644480304
infectious,24.767975086008427
atrium,24.657756332764446
lytic,24.52694425828455
adenopathy,24.349109092360905
radiation,24.32443282718283
projecting,24.278131910273192
thrombus,24.19289215310662
compatible,24.137822699928016
consolidations,24.098221515541496
weakness,24.09385226429597
swelling,24.03363084649525
relatively,24.016618185800553
colon,23.884279536091718
suggest,23.84970856722663
infarct,23.820531358566672
medial,23.657252232088272
smaller,23.60620025141342
outside,23.606193366729695
lingula,23.53991239929253
reflect,23.47977765601457
drainage,23.473350505522905
apparent,23.461801250730165
yesterday,23.413793667724146
would,23.41108160272013
abd,23.37360765802465
foci,23.3720823675142
ext,23.199928409878076
somewhat,23.143343459764566
sepsis,23.098354906440132
narrowing,23.061263664498085
recurrent,23.002664908024837
cells,22.997841586529898
calcified,22.96765389139789
projects,22.95905126750659
rml,22.755726344217038
infarction,22.68834201104083
hx,22.655973693347693
coronal,22.65161437629177
adenocarcinoma,22.550640200450086
bleeding,22.47065129623887
collapsed,22.45671644407041
signal,22.417353664227065
near,22.398102920541987
distinct,22.3805730814282
alveolar,22.31696100842794
gallbladder,22.09707765413573
leftward,22.00731876857269
illdefined,21.99099419628547
films,21.986222433620977
improving,21.970540321028274
located,21.963272765212245
stage,21.921165060898154
vessels,21.902082451587198
syndrome,21.896926886406025
squamous,21.87231306007953
altered,21.867906177400393
sternotomy,21.83331955175941
loops,21.81422787801947
andor,21.74178343692207
evaluated,21.721028176394064
done,21.71717353886082
doppler,21.647894049034555
sinus,21.611911896666392
hemothorax,21.600125847426284
blunting,21.575819205464654
obscured,21.534288721103714
three,21.48893234850612
short,21.481721416418182
assessment,21.417015314970552
motion,21.383873629536915
axillary,21.37973653931006
airfluid,21.372322316037277
asymmetric,21.36878024201604
sulci,21.34238610496533
appropriate,21.286968011728028
major,21.240023090554995
imaged,21.227792072766103
us,21.202079698867912
appreciable,21.168737508144115
procedural,21.16001142029398
arteries,21.13493085678934
paranasal,21.126538817923713
lucency,21.060005712372288
mainstem,21.015171305301212
window,20.93989573723451
mildly,20.929647300219276
tumorsda,20.91702003639105
either,20.893617596563338
trach,20.89254651082305
herniation,20.871868686886632
cabg,20.834800524741
days,20.79074458950161
dobbhoff,20.705039444746596
desaturation,20.585989142346584
pathology,20.57354517827112
levels,20.535561077041358
rounded,20.51528520668265
presence,20.501529442562628
worsened,20.498518636016158
follow,20.44297408866993
temporal,20.44198700704835
mastoid,20.299208162814566
calcification,20.26207199702491
esophageal,20.252997654630814
extends,20.250061324549414
total,20.22689156266428
ventricular,20.20964994743964
appreciated,20.174816687296918
towards,20.017609504965403
access,20.00453031621909
pulled,19.926799134246686
bladder,19.892534675753858
positioned,19.816134687390804
support,19.751344039860808
included,19.648269634505226
rightward,19.643180747087843
gadolinium,19.577463963986492
op,19.564542675421436
leg,19.554105412802507
subsegmental,19.53699209940039
fractures,19.520007129476305
information,19.49709272691392
obstructing,19.477897187093944
extubation,19.41664553024074
inlet,19.408374403169912
remainder,19.3862509232052
multiplanar,19.280038494255997
wire,19.27267212067614
secretions,19.26255576684663
swanganz,19.208844103764893
evident,19.178354766981933
sheath,19.14564766981218
atelectatic,19.134574277162983
coronary,19.12480563648721
tachycardia,19.113867128566913
peripheral,19.04589686367196
filling,19.01153385387576
ivc,18.995498099546882
series,18.98519095039821
brachiocephalic,18.966963735880455
confirm,18.90106845633082
resolved,18.853357538865215
needle,18.811650774963866
onset,18.792742148685683
lumbar,18.754438223554722
widening,18.682772180162562
cardiopulmonary,18.680963849662646
popliteal,18.622231340431135
course,18.608291338086485
superficial,18.580912991722993
quadrant,18.57006379985076
masssda,18.567446202451002
concern,18.55109388708077
parenchyma,18.49599475475447
malignant,18.49430595975116
esophagus,18.472161343351992
minimally,18.42713896236475
good,18.314710732616923
kidneys,18.28621120273557
ni,18.271196653819207
substantial,18.237835782904245
confluent,18.235406410871366
ischemic,18.225788410163528
mon,18.179692597266076
correlation,18.12874335240014
pacemaker,18.115870958500956
developed,18.07863214714996
least,18.037995697806576
setting,17.991470261347356
dobhoff,17.90004785840025
developing,17.89907733753474
contiguous,17.885547242603952
scarring,17.86542352667684
waterseal,17.859220659568965
etiology,17.816118325756257
rigid,17.785525561594064
md,17.757734641417716
possibility,17.750390352592447
indications,17.741551472016805
hemorrhagic,17.725283332029267
bed,17.68410037341362
recently,17.631114930468307
bony,17.607980212066433
telephonefax,17.59524663473068
larger,17.55282504609857
requirement,17.50880145597598
cerebral,17.503279094123005
fall,17.483532499451787
bronchi,17.46215855870871
pod,17.46012729687434
addition,17.382985095117792
see,17.33986755432858
basilic,17.28270052142275
detected,17.262632272273727
suggests,17.252942154535447
extubated,17.23105347744096
fu,17.212938876633007
hazy,17.19902336266184
continues,17.181957843414473
filter,17.146734463704316
acquired,17.12461600854782
windows,17.119934945785086
diffusion,17.069698035341315
leak,17.018329185299248
fri,17.005599680703625
dilated,16.998476997132883
scattered,16.990555379665107
second,16.954596584299495
high,16.922856691396174
attenuation,16.895576634708675
heterogeneous,16.876807502886994
thorax,16.82980416044646
stenosis,16.823732015782003
spleen,16.785245126916063
laterally,16.75688095596054
oxygen,16.72307881083585
unit,16.68705846494595
endobronchial,16.668646520373475
torso,16.648949777749667
pneumocephalus,16.63820666662698
portions,16.625684623596992
hepatic,16.608495481194964
noncoronary,16.60768620652556
crecons,16.60768620652556
wed,16.58992433768631
bilat,16.58522678011986
completely,16.55975521425171
show,16.498365461238485
fusion,16.489963701914043
ards,16.472534121963307
predominantly,16.436043201286818
regions,16.385322515506054
reintubation,16.38337281349533
spread,16.368219036931155
fluoroscopic,16.321941273039595
finding,16.26110016883427
relevant,16.246914475034778
augmentation,16.24413214393652
dictation,16.215262997456914
via,16.18058807706278
fissure,16.149168191552796
color,16.11257375066457
sclerotic,16.09446791045872
osh,16.05821021309607
fourth,15.991585473543205
clinically,15.975920135514285
spiculated,15.961962098880926
sternal,15.924639622400871
involvement,15.90846126937549
densities,15.892772703662068
leftsda,15.876319711172373
might,15.846113397522592
nsurg,15.80423727991733
cavoatrial,15.77776371684965
rt,15.742413759091203
wires,15.722944360202218
signs,15.721470961132772
repeat,15.675265951212243
preexisting,15.657704681486779
hydronephrosis,15.651237526821264
swallow,15.636134824675752
guidance,15.635483991365803
sat,15.577078306902225
cyst,15.554649489828098
border,15.547176039924343
cavitary,15.520577092044183
fevers,15.487860324594381
distended,15.487396056159563
admitted,15.48250274510692
deep,15.462907708583364
lingular,15.41305514542438
zones,15.371484493248245
lies,15.331410739475112
compressibility,15.319000842663316
arm,15.309976885612052
hemisphere,15.297584828783291
nonspecific,15.282959915777665
minor,15.272698127311328
markedly,15.268711377902488
progressive,15.234248094522242
fossa,15.22407032401668
median,15.210802856673283
moderatesized,15.198610315356246
initials,15.154619832913284
devices,15.141205803333463
tortuous,15.089693987358078
ascites,15.005020297281812
embolus,14.998283917597709
abscess,14.998048146498121
products,14.970885344329453
considered,14.922798199081203
results,14.892002200089633
ago,14.847578050778747
material,14.840483562896754
assessed,14.82896836832115
vascularity,14.781091474970584
insertion,14.773238067139614
lumen,14.757841120239528
stroke,14.74120495123989
dilatation,14.712865709706582
largest,14.697346061486723
hypodensity,14.692801406103705
subtle,14.67209699439729
staging,14.666417178536953
shifted,14.664033275475662
pancreas,14.653661971921366
telephone,14.64467963301627
vessel,14.624615909194791
extraaxial,14.616519239193769
flair,14.609537900183323
bedside,14.598422006378742
third,14.575855877606154
thyroid,14.559319233153985
lymphangitic,14.556676579773082
infrahilar,14.526347679737645
oral,14.516085674894965
mdct,14.507148668277585
brachial,14.498946113261445
needs,14.460117075689665
tue,14.452260613756048
sleeve,14.3196362816594
faa,14.254421957466818
passes,14.250800801925838
hernia,14.231954444897903
pneumomediastinum,14.217553839607948
uptake,14.21595172136245
configuration,14.18107106670257
ionic,14.180238775557834
thrombosis,14.16994961254996
provided,14.142958593281378
french,14.131752202747894
moderately,14.125566746177252
subsequent,14.118412187381523
periventricular,14.073176491035492
exclude,14.065922615216186
segmental,14.042730465010191
tamponade,14.041200458210588
diameter,14.032152063050058
preoperative,14.026664957795653
atherosclerotic,14.026145134006722
inserted,13.994110967323762
reformatted,13.978643047684987
sats,13.978636105599602
neoplasm,13.964906107310668
coiled,13.963519062180872
fibrosis,13.955687719143107
subcarinal,13.931875103293233
recons,13.926473353184033
gastric,13.886923900114047
th,13.83783625687287
interpretation,13.8245571663184
entire,13.783395424017325
rulobectomy,13.766821706803151
radiologist,13.754497579121452
opacified,13.727353470314236
artifact,13.70865926601678
positions,13.706384406742488
worse,13.660080507100835
empyema,13.653319977686579
skin,13.627818570037393
suprahilar,13.62675773891316
administered,13.61833543764677
ileus,13.570068414552548
preserved,13.567014596904032
gi,13.50077640015837
tweighted,13.47403960501088
causing,13.445368334568728
aneurysm,13.412070187189261
obtain,13.38916125071513
margin,13.366208118537322
visible,13.353047824027525
using,13.340404391116508
myocardial,13.330756547948706
engorgement,13.32421191696047
monitoring,13.31353199442774
complications,13.281458053122337
emphysematous,13.261172434310085
decreasing,13.250795529740165
numerous,13.187474002387933
transferred,13.184126374920995
tracer,13.184003723834968
canal,13.173017387815694
apices,13.126516693423808
met,13.12152951377193
gland,13.117739518123335
posteriorly,13.114646187588376
seizure,13.102671755004337
compare,13.092846041345199
particularly,13.089798647484022
trauma,13.087381358618996
groundglass,13.084138658726236
arrest,13.02252244877499
carotid,13.013209162534771
arterial,12.971126595491967
widespread,12.956029269227233
distention,12.950378726471495
call,12.943298742055669
pelvic,12.875725478414335
approach,12.875713703385534
found,12.864436788445902
need,12.845573326468333
diagnosed,12.844564433930488
smalltomoderate,12.823287572278316
sonname,12.806204298614233
pw,12.782619282566733
hilus,12.750447369600542
territorial,12.725732891274049
ge,12.71899935006998
erect,12.718307345445687
hypoxic,12.674738118386584
top,12.67217084269459
additionally,12.650823406906678
maxillary,12.623020866044119
communicated,12.61103456011718
radiographic,12.609401520787015
almost,12.599792109708387
bx,12.553049157614785
suspected,12.52587078393658
pancoast,12.496271461701923
rotation,12.491734855922223
arch,12.459536864628515
haziness,12.459400655557797
trace,12.454350732470585
direct,12.387990108419894
persist,12.38020613347066
nonionic,12.378512253673449
origin,12.36251065190815
recommend,12.338532218721689
presumably,12.328718409155124
staples,12.310597226564369
cystic,12.264596881088622
ischemia,12.222549633335024
cerebellum,12.176647880572219
micu,12.166922843355124
mi,12.158433912082872
hyperdense,12.143423887658
mildtomoderate,12.115463548097502
caliber,12.107929197825353
differentiation,12.077299563580365
titles,12.076478695386978
cv,12.071827025453365
overlies,12.058023427747502
vent,12.034342192799578
preceding,11.955020512513062
reconstruction,11.939439744439028
difficulty,11.937584279319855
conclusion,11.894209983623586
presents,11.88353028369907
differential,11.87679077719831
part,11.812728880046947
local,11.793433712216181
leads,11.78293456048735
medially,11.77757261098138
pathologic,11.759596423453766
iliac,11.733116912099817
around,11.70373114410522
mediastinoscopy,11.70220707671824
examinations,11.689132206600352
operative,11.684686286940684
early,11.654897728768802
much,11.614231084928045
embolization,11.558495175059619
rotated,11.536124222170663
icu,11.52440039460606
redemonstrated,11.519338447536759
redistribution,11.501144285102848
ich,11.498771884738105
end,11.495157081691303
unilat,11.48389821621551
distribution,11.456860601463722
type,11.43919039889203
lobar,11.419873090975273
collections,11.414870320129138
interim,11.397343717095056
reduction,11.388180694058127
courses,11.374886435037581
disc,11.364586139520778
sicub,11.341436678297027
clot,11.332613160922143
branches,11.297470446602652
pleurodesis,11.29736564373972
defect,11.277104135643683
beyond,11.276865173281685
paramediastinal,11.261885834009771
ogt,11.259107653715956
worrisome,11.238911322221407
epidural,11.221780978461616
extension,11.220400192333267
rij,11.203610713134495
intact,11.178117489400682
corresponding,11.151952300535715
barium,11.129267262605635
crani,11.122792941635808
paged,11.100266826904946
upon,11.093435006181506
repositioned,11.09056970261738
indicating,11.082892882205023
successful,11.076448745252863
cad,11.07179039971631
cisterns,11.063912564577842
poor,11.055727579323834
leukocytosis,11.027920885743098
fully,11.022131398608577
reference,10.990592890147445
clamped,10.979210368149646
todays,10.978862256779374
helpful,10.974073107131808
incompletely,10.961218213717757
substantially,10.955112690726406
hip,10.95115663765635
chnage,10.949926596727078
repositioning,10.943450140981096
ms,10.9328488635928
scoliosis,10.929623330954927
airways,10.929191766018949
sterile,10.913902588913036
mucous,10.907107882354612
sounds,10.90072288559454
currently,10.896384425864468
used,10.885310311693742
dc,10.87174470702553
reticular,10.802429504930185
hiv,10.793970666870148
defined,10.742709890288987
mucosal,10.729170273640639
ribs,10.709394754355722
characterized,10.704486388140952
sbo,10.695614830004269
except,10.641684068338115
mesenteric,10.631581651398747
occlusion,10.63087203355178
sutures,10.62749360214001
rectum,10.612617192357419
glands,10.61146803781822
dissection,10.605146740421942
planning,10.58327146546057
desat,10.58318934724612
despite,10.562142358029233
effacement,10.554912450464128
retroperitoneal,10.551883080708958
reflecting,10.526807355173716
clearing,10.51087208592661
entirely,10.48507772728549
atrial,10.482792441225511
emboli,10.480395286957487
cath,10.479140088631064
stenting,10.47583663241054
next,10.435038806628143
progressed,10.425161065632265
fa,10.409415819752999
collapseconsolidation,10.406518794269138
effusionleft,10.403008091863748
bronchopleural,10.367870695095966
swan,10.366119931910239
urinary,10.360013138598266
protocol,10.3415459826432
clearly,10.327325023280185
questionable,10.317329443641048
replacement,10.314035964040201
source,10.313079497876988
pleurx,10.311305032499218
carcinoid,10.307380103686606
supraclavicular,10.286786092425737
evolving,10.257366799118142
dating,10.237358027294393
presenting,10.229467716291689
atrophy,10.21924624015873
necrotic,10.212239184502371
peg,10.19750674399091
cause,10.19694122087085
absence,10.174809060080884
sized,10.170185873803678
paracostasl,10.17002345086621
thin,10.14606428649139
reintubated,10.14560253314545
per,10.111736380918604
morning,10.078752296028064
indicated,10.071236961561546
review,10.065211634517858
exacerbation,10.059337596993807
skull,10.05075063198865
reflects,10.034409665335579
intermedius,9.959268961867398
overt,9.955859990255057
hila,9.955387870148257
dependent,9.941337672466453
therapy,9.933095999749963
fullness,9.925917464675301
diffusely,9.925858529451277
infarcts,9.894509085726808
scc,9.881739719312371
hypoxemia,9.871275758038237
largely,9.867780895339576
grayscale,9.86650498786859
relative,9.858708631975661
bodies,9.841164002956251
priors,9.825991604171364
hypodense,9.788867431579032
system,9.747683480659356
intraperitoneal,9.734870069779474
requiring,9.730264582631207
tachypnea,9.713560163770344
obvious,9.708162436553529
