Term,Frequency
barium,138
esophagogram,3
able,46
stand,3
fluoroscopic,311
passed,47
freely,36
entered,27
stricture,30
tertiary,1
nonpropulsive,1
contractions,1
ulceration,8
extremely,29
metallic,74
markers,51
passage,16
obstruction,1123
endoscopy,11
entirely,104
hypoxia,742
ascending,70
transferred,146
micu,74
nonsmallcell,37
widened,59
cut,43
stroke,179
protocol,201
foot,89
drop,94
hand,33
kyg,6
fri,242
structure,83
leptomeningeal,103
abnormally,33
restricted,81
diffusion,296
perventricular,1
mra,166
signal,468
circulation,43
dural,64
thrombosis,176
spaces,78
dinitials,25
onset,197
footdrop,1
short,331
tr,51
te,55
spin,53
long,86
fast,38
flair,248
repeated,70
hyperintensities,31
microangiopathic,5
discrete,109
postcontrast,114
age,290
involutionary,3
patent,749
occlusion,200
dilation,71
intraluminal,84
thrombus,388
metatstasis,1
acutelyworsening,1
silent,17
r,1335
information,216
appreciable,170
infiltrateedema,8
vasculature,296
etiology,249
nslc,29
pleuritic,35
initials,174
per,185
departmental,25
projected,61
emphysematous,180
superimposed,336
inflammatory,150
persistence,35
obliteration,70
conclusion,134
cta,988
crecons,326
noncoronary,326
embolism,488
dvt,732
ac,4
presenting,138
followed,116
postadministration,6
reconstructions,158
cavitating,23
anteriorly,126
measured,77
pleuralbased,46
worrisome,147
subcentimeter,116
segmental,292
emboli,172
dissection,194
arise,5
anatomical,12
musculoskeletal,22
invading,66
destroying,8
shaft,12
enchondroma,11
atelectasiscollapse,11
neoplasm,204
invasion,163
distinct,353
stat,49
cxrevaluation,2
nodulesda,318
lobectomy,2129
female,537
displacement,87
abuts,47
located,325
abutting,101
tiny,470
silhouettes,48
rods,20
beginning,14
locate,8
thorax,199
third,209
fourth,237
postoperative,800
good,192
extrathoracic,13
f,244
hemopneumothorax,10
collection,595
hemothoraxpneumothorax,1
tender,11
screen,9
hemothorax,188
check,502
thoracostomy,22
tu,1
wf,7
airfluid,200
picc,1763
placment,124
sch,87
requesting,9
tpn,26
plus,9
access,323
sepsis,221
cpt,187
codes,186
reposition,20
cath,160
fluoro,84
wradiologist,4
centmidnot,31
aicd,17
pocket,51
mssa,14
dif,2
colitis,90
fungal,28
bacteremia,42
apetite,1
intake,11
po,59
foods,2
medications,22
diff,16
appetite,3
convert,2
lumen,235
doublelumen,38
drs,58
ptitle,49
supervising,82
arm,194
prepped,147
basilic,207
guide,35
wire,438
vena,439
cava,422
replaced,73
french,348
double,70
guidance,339
flushed,72
approach,158
ready,100
use,141
statlock,25
applied,97
heplocked,20
replacement,101
singlelumen,15
duallumen,9
via,258
total,264
length,145
infected,19
implantation,26
epicardial,20
welevated,2
wbcro,1
abscess,242
leads,98
count,78
gas,508
pectoralis,1
pacing,13
wires,166
traverse,6
sized,99
compressive,112
punctate,110
uncertain,84
fissure,218
fissures,15
minor,156
colonic,64
traversing,21
averaging,10
strongly,10
cecum,32
stranding,139
telephoned,21
resident,45
caring,45
cvlpicc,12
ud,15
guid,152
yeast,1
blood,582
cultures,4
stools,5
id,3
case,41
feels,3
notwitstanding,1
infections,4
requiring,94
term,24
antibiotics,67
unable,120
advance,26
staff,52
supervised,36
draped,140
usual,76
sterile,253
fashion,149
ultrasound,509
used,245
suitable,54
compressible,48
local,221
anesthesia,195
ml,106
ultrasonographic,22
gauge,153
based,119
determined,45
trimmed,28
fr,47
demonstrating,135
locked,12
closely,14
leave,13
icu,103
nausea,88
wvomitingelevated,8
lfts,37
intractable,6
nv,28
go,16
neurosurg,5
craniotomy,411
hilarright,1
shown,34
growth,10
obscured,194
ekg,46
nauseavomitting,1
unsteadiness,2
gate,1
vomiting,92
gait,14
multidetector,125
cerebellum,172
vasogenic,442
upward,28
downward,25
transtentorial,32
herniation,294
beaking,1
tectum,2
cerebellar,807
tonsils,11
foramen,98
magnum,40
highdensity,26
tshaped,1
fossa,220
para,4
displaced,62
choroid,21
plexus,17
supratentorial,50
sphenoid,80
hemisphere,247
causing,224
sinusitis,17
ordering,24
neurosurgical,14
consultation,18
advised,36
resid,3
nscl,13
suboccip,1
crani,111
djd,24
sat,181
postop,249
digits,31
edemamass,2
impooved,1
order,135
following,717
gadolinium,313
undergone,42
craniectomy,47
date,301
range,28
products,222
mdctacquired,91
slice,61
thickness,76
finding,224
paraesophageal,33
mural,45
hypoattenuating,104
characterize,193
ascites,285
pathologically,159
ovaries,8
sclerosis,74
sacroiliac,15
exams,67
wed,220
solitary,20
abundant,4
resultant,31
utilizing,24
diffusionweighted,86
plane,63
keeping,32
avidly,6
virtually,16
tonsil,10
positioned,245
tentorium,17
lacune,10
nucleus,16
linear,295
subcortical,98
massabnormal,1
hyperintensity,111
posttraumatic,12
dictation,154
rll,421
biopsied,11
cb,69
pigtail,303
rr,8
type,120
semiupright,265
preceding,117
covers,3
include,120
ultimate,1
congested,8
covered,10
suggestion,94
ards,117
orogastric,60
looped,16
relative,107
evalate,7
sbo,97
signs,164
ileus,125
feeds,19
stool,56
smallbowel,27
either,265
adynamic,2
coiled,125
esophagogastric,11
preexisting,108
perihilar,543
predominant,32
newly,269
occurred,60
kkgc,17
received,29
notably,35
constant,30
borderline,72
opacifications,55
vs,428
pressers,1
pbec,9
sun,121
rml,215
fdgavid,36
worsened,186
general,26
transition,42
dependent,162
ground,153
glass,150
inthe,1
antdependent,1
findingsd,1
interseptal,2
lobular,15
regions,239
descrbed,1
rmlrul,6
posttreatment,12
possibility,215
og,219
lymphangiitc,1
artherosclerotic,1
inctrabdominal,1
aortapbishop,1
stage,225
adenocarcinoma,235
breast,75
lumpectomy,2
radiation,325
pressors,15
petct,113
slowly,19
rising,39
team,106
prefers,1
supraclavicular,159
appearing,82
morphology,30
subcarinal,303
point,91
arthrosclerotic,5
arch,214
descending,155
annulus,12
cylindrical,1
bronchiectasis,60
infrahilar,129
fdgavidity,1
exact,31
measurements,36
parenchyma,255
postradiation,59
limitations,49
densest,1
progressive,137
groundglass,242
antidependent,1
assymetric,2
infectious,346
loculation,70
unenhanced,47
fdg,170
avid,62
layer,8
aerted,1
depended,1
nondependent,21
direction,23
thought,30
latter,35
removedclinical,1
still,412
persists,319
maty,1
less,444
concurrently,16
fundus,79
patter,1
presumed,93
appreciated,221
cts,67
adenoca,55
dx,81
squam,1
admission,35
squamca,1
minimally,169
preexistent,2
longer,76
cancersda,449
thoracotomyct,1
detectable,9
interspace,13
telephone,168
look,57
safe,17
substantial,131
part,132
ventilatory,16
overlaying,2
interest,3
potentially,61
appeared,63
presence,255
collections,124
vats,513
clearly,108
ventilated,22
open,65
flutter,7
sao,5
mbue,18
hydropneumothorax,446
lowdensity,48
sequelae,45
differential,181
includes,113
months,28
repeat,169
intermedius,158
bronchi,356
reactive,41
sats,108
helical,88
acquisition,44
created,16
opacifies,8
opacify,17
defects,137
measure,105
axis,142
trachea,490
stem,413
interspersed,2
subsequent,139
gelfoam,11
attributed,29
intervention,37
extends,278
bronchial,740
designed,28
communicated,143
tsurg,131
faa,67
svt,6
sup,5
postright,18
preoperative,147
preoperatively,4
joint,81
redemonstrated,105
synovial,1
osteochondromatosis,1
streaky,38
intact,127
vague,50
midtolower,22
underpenetration,10
suture,54
optimized,24
thoroughly,8
collapseconsolidation,85
midlung,52
fully,126
recons,275
atheromatous,12
plaque,100
formation,71
partial,404
visualization,61
bulky,86
prevascular,142
stations,30
retracted,38
towards,193
confirmed,100
ten,7
baseline,60
exception,30
consolidative,67
carcinomatosis,67
redictation,4
medistinal,8
lingula,279
precluding,5
consoidation,1
pneuonia,2
postobstructive,530
reaccumulation,60
iii,50
endobronchial,190
rm,7
stent,1101
hemoptysis,602
moderately,155
moderateto,8
pulm,357
reference,90
nsurg,111
sicub,61
occipital,393
pneumocephalus,220
deeper,3
periatrial,17
sectionsclip,27
metestatic,5
dz,34
parietal,550
source,148
exerts,7
traction,28
satellite,71
arterial,290
mitral,29
annuli,2
caliber,240
largely,84
locules,34
bile,59
duct,119
brisk,7
stones,90
therefore,70
intraperitoneal,103
contains,158
decompressed,47
diverticulosis,103
diverticulitis,138
sidewall,6
thoracolumbar,57
sacral,18
granulomatous,38
eg,23
multisequence,15
institution,28
parasagittal,34
complex,70
effacement,146
dimension,83
superiorinferior,1
hypointensity,13
isointense,5
irregular,139
rim,91
slow,67
center,25
enhance,57
unaffected,2
abut,16
sequela,23
voids,63
greatest,52
characteristics,33
nonenhancement,6
felt,29
necrosis,98
typically,6
homogeneous,54
centrally,107
whereas,18
isointensity,1
anemia,80
diminished,53
hypointense,31
hyperinflated,64
splaying,7
bronchovasculature,6
flattened,10
diaphragms,36
biapical,64
notable,42
dishrelated,1
recommend,152
sesha,29
bed,254
layering,295
todays,105
early,127
ventriculomegaly,26
monitor,15
reformats,166
generated,76
raising,47
stability,30
afsn,17
mprage,123
rimenhancing,55
away,15
rmlrllobectomy,28
ptxchest,1
shfd,9
tue,213
subq,10
dw,45
late,4
axilla,70
resections,33
generally,21
tortuous,142
acutely,34
postresection,8
clamped,69
ptxplease,13
rmlrulobectomy,1
wresidual,1
loberight,4
stemi,42
rsrc,25
till,8
p,103
tortuosity,41
recurrent,237
hypoxemia,65
oxygen,140
poststernotomy,4
looking,15
pneum,10
pos,12
sputum,65
cytology,47
eagg,18
subsequently,86
slices,26
threeminute,15
containing,76
bronchograms,94
meeting,18
criteria,113
airways,227
unusal,1
dependently,22
pericholecystic,37
ductal,72
excrete,29
symmetrically,46
wellcircumscribed,22
exophytic,40
round,61
interpolar,38
kidney,527
arising,46
adnexa,33
inguinal,140
groin,108
buttock,10
injection,146
granulomas,34
bronchoalveolar,40
cholelithiasis,89
cholecystitis,139
wthout,1
histoyr,1
courses,105
abx,31
past,73
unresolved,6
predominate,3
presentthe,1
widely,63
adherent,4
interatrial,4
lipoma,21
heterogenous,28
cystic,184
progressed,112
explained,84
bronchioalveolar,7
alhernatively,1
gallstones,87
posted,24
critical,11
dashboard,42
notification,6
referring,43
atalectasis,14
discussion,30
obstructing,216
heparin,62
started,31
oxza,20
prepared,44
encephalomalacia,40
generalized,52
bifrontal,31
siphons,11
consisting,10
acceleration,1
obscuring,65
leukocytosis,77
substantially,82
even,57
suspect,29
indeterminate,90
nodulation,2
attributable,9
disseminated,10
bilat,169
ext,258
jekh,22
grayscale,95
color,169
doppler,251
sonname,146
ni,238
popliteal,218
peroneal,62
tibial,67
compressibility,161
augmentation,164
med,213
especially,74
ckd,7
bronchiolar,9
xrays,43
rapid,107
postpneumonia,2
coronally,18
variety,5
longstanding,28
segments,76
reflecting,101
centrilobular,143
intramural,14
surfaces,17
cage,40
sternotomy,200
enough,14
unrecognized,1
basis,25
online,4
record,51
saturations,11
continues,137
hyperinflation,42
infiltratefluid,2
latest,24
massive,74
remnant,8
lymphangiitic,2
geogrpahic,1
denser,13
thereof,1
collcetions,5
pseudocysts,7
int,12
dyspneahypotension,17
perforated,26
appendicistis,2
conservatively,2
managed,3
appendicitis,14
duodenalpancreatic,2
connection,8
functionpoor,2
function,49
dxae,10
peripancreatic,10
