Pretty Name,Frequency,Entity Type
Air-fluid,11,PRODUCT
Computed,11,PERSON
nsclc,11,PERSON
intracranial metastases,11,ORG
RLL Lobectomy,11,ORG
morning,11,TIME
Second,11,ORDINAL
Fentanyl,11,PERSON
N/V,11,ORG
lumbosacral,11,NORP
osteopenia,11,GPE
Cavitary,11,NORP
at least one,11,CARDINAL
Minimal,11,PERSON
"LUNG CA/SDA
  Contrast",11,PERSON
CONTRASTClip,11,PERSON
nsclc,10,CARDINAL
CXR,10,PRODUCT
DR,10,GPE
CA p/w,10,ORG
free fluid,10,PERSON
MSSA,10,PRODUCT
NameIs,10,NORP
ninth,10,ORDINAL
the previous day,10,DATE
the prior day's,10,DATE
Lateral,10,ORG
ETT,10,LOC
s/p L.,10,ORG
Hyperdense,10,ORG
Mucosal,10,ORG
PORTABLE AP,10,ORG
Next,10,ORG
eight hours,10,TIME
Vascular,10,LOC
several days,10,DATE
Left PIC,10,LOC
BAL,10,ORG
FLAIR,10,ORDINAL
Indeterminate,10,ORG
Irregular,10,PRODUCT
SI,10,ORG
LUNG MASS;CHORD COMPRESSION,10,PERSON
STitle,10,ORG
Spleen,10,PERSON
Subcutaneous,10,PERSON
Three-minute,10,TIME
p/w,10,ORG
hematoma,10,PERSON
"LUNG CA
  Contrast",10,PERSON
NSCL,10,ORG
"RT LEG ISCHEMIA
 _",10,ORG
NSC,10,ORG
CXR,10,LOC
s/p Trach,10,ORG
Exam,10,PERSON
PLease,10,ORG
Volumetric CT,10,PERSON
one week,10,DATE
BAC,10,ORG
"the
 morning",10,LOC
SG,10,ORG
last week,10,DATE
HX,10,GPE
one day ago,10,DATE
five hours earlier,10,TIME
pulmonary,10,PERSON
Pigtail,10,PERSON
Subclavian,10,NORP
Abnormal,10,PERSON
Persistent,9,PERSON
"s/p RULobectomy
 REASON FOR THIS EXAMINATION",9,ORG
Basal,9,PERSON
Vicryl,9,ORG
Aorta,9,PERSON
previous day,9,DATE
Dr,9,GPE
splenomegaly,9,GPE
s/p CABG/MVR,9,ORG
LCpc TUE,9,PRODUCT
mid lung zone,9,GPE
Ill,9,GPE
Advanced NSCLC,9,PERSON
Duplex,9,NORP
New PICC,9,GPE
Pericardial,9,ORG
Physiologic,9,ORG
RENAL ULTRASOUND,9,ORG
Stomach,9,PERSON
three hours earlier,9,TIME
RLQ,9,ORG
GUID WIRES INCL INF,9,ORG
Status,9,ORG
s/p Vfib,9,ORG
s/p MVC,9,ORG
Nasogastric,9,LOC
two days earlier,9,DATE
earlier same day,9,DATE
ESRD,9,ORG
five,9,CARDINAL
Opacities,9,WORK_OF_ART
Unchanged,9,GPE
Decreased,9,PERSON
PACS,9,ORG
"s/p crani
 REASON FOR THIS EXAMINATION",9,ORG
Gelfoam,9,PERSON
at least three,9,CARDINAL
the Swan-Ganz,9,EVENT
multiplanar,9,GPE
hematoma,9,GPE
Noncontrast CT,9,ORG
Evidence,9,LOC
Request,9,ORG
Residual,9,LOC
"HIP FRACTURE
  Contrast",8,ORG
Cont,8,GPE
dura,8,NORP
SMV,8,ORG
GU,8,ORG
NSCLC p/w,8,ORG
hematuria,8,GPE
Nodular,8,ORG
mass,8,GPE
mucus plugs,8,ORG
LEFT UPPER,8,ORG
Duplex,8,ORG
Distal,8,NORP
EXT VEINS US                                           Clip,8,ORG
cerebellar mass s,8,PERSON
one week ago,8,DATE
CLINICAL INFORMATION & QUESTIONS TO BE ANSWERED,8,ORG
RA,8,ORG
Optiray,8,NORP
Filling,8,ORG
Standard,8,ORG
RULectomy,8,ORG
II,8,CARDINAL
Thyroid,8,PERSON
CV,8,ORG
Pacemaker,8,ORG
SQ,8,ORG
BP,8,ORG
ALS,8,ORG
Omnipaque,8,PERSON
"SEIZURE;BRAIN & LUNG MASSES
  Contrast",8,ORG
mm,8,PERSON
cerebellar,8,PERSON
SBP,8,ORG
SICU,8,ORG
PSS WED,8,ORG
SEL,8,NORP
Rounded,8,ORG
LMS,8,ORG
Calcified,8,ORG
Cerebellar,8,PERSON
cerebellar hemisphere,8,PERSON
DIABETIC,8,ORG
Streaky,8,PERSON
multiplanar reformation,8,GPE
MIP,8,ORG
TEF,8,ORG
s/p LAR,8,ORG
sbo s/p x-lap,8,ORG
Sterile,8,PRODUCT
s/p L IJ,8,ORG
PTX s/p,8,ORG
PA &,8,ORG
tonight,8,TIME
Bifrontal,8,ORG
Optiray IV,8,PERSON
Esophageal,8,ORG
ANEMIA;HYPERCALCEMIA,8,CARDINAL
CABG,8,ORG
Jtube,8,PERSON
LN,8,GPE
Access,7,PRODUCT
Lytic,7,NORP
DLnc MON,7,PERSON
PMH,7,ORG
tenth,7,ORDINAL
Foci,7,ORG
S/p,7,ORG
Doppler,7,ORG
C.,7,NORP
sulcus,7,GPE
the past several days,7,DATE
ERCP,7,ORG
LOWER EXTREMITY VENOUS ULTRASOUND,7,ORG
Hepatic,7,LOC
chemical,7,ORG
several hours,7,TIME
approximately one hour,7,TIME
Hematoma,7,PERSON
Four,7,CARDINAL
"BRAIN HERNIATION
  Contrast",7,ORG
Atrophic,7,PERSON
HYPONATREMIA,7,ORG
Treitz,7,ORG
Monday,7,DATE
Pelvic,7,ORG
CTA ABD W&W/O C & RECONSClip,7,ORG
BILAT LOWER EXT VEINS                                           Clip,7,ORG
"the same day
 earlier",7,DATE
Incidental,7,ORG
Ventricular,7,GPE
seven hours,7,TIME
Correlate,7,GPE
Signal,7,ORG
Atelectasis,7,GPE
pancreatitis,7,PERSON
"AMS
 REASON FOR THIS EXAMINATION",7,ORG
Evaluate ET,7,ORG
Bentson,7,PERSON
MULTIPLANAR,7,ORG
"the same
 day",7,DATE
Airspace,7,PERSON
lung adenoca,7,PERSON
EtOH,7,ORG
Kidneys,7,PERSON
nsc,7,ORG
TUBE,7,ORG
prior day,7,DATE
afternoon,7,TIME
six,7,CARDINAL
same day,7,DATE
Distal,7,ORG
IIIA,7,ORG
IVF,7,ORG
the Port-A-Cath,7,FAC
likley,7,PERSON
Subcarinal,7,PRODUCT
REASON FOR THIS EXAMINATION,7,ORG
hydrocephalus s/p VP Shunt,7,ORG
LOWER EXTREMITY ULTRASOUND,7,ORG
Tracheostomy,7,GPE
MED,7,ORG
PACU,7,ORG
Atrial,7,ORG
CTP,7,ORG
s/p L-thoractomy/LLL,7,ORG
Renegade,6,PERSON
Amplatz,6,PERSON
NSCLC s/p,6,ORG
Periventricular,6,PRODUCT
SEIZURE;BRAIN & LUNG,6,ORG
FEVER,6,ORG
HCAP,6,ORG
Bronch,6,PERSON
Noted,6,ORG
days,6,DATE
cub,6,ORG
appendicitis,6,GPE
plaese,6,NORP
"s/p extubation
 REASON FOR THIS EXAMINATION",6,ORG
THORACIC,6,ORG
Assess NG,6,ORG
VI,6,PERSON
"RLL
 Admitting Diagnosis",6,ORG
ACA,6,ORG
NON-IONIC,6,ORG
Aortogram,6,ORG
lung mass s/p,6,PERSON
Hounsfield,6,ORG
Confirm,6,ORG
w/ SOB,6,PERSON
Node Biopsy,6,PERSON
MTT,6,ORG
EtOH,6,PERSON
ASL,6,ORG
Visualized,6,PERSON
Generalized,6,PERSON
Recommend,6,ORG
LAT & OBLIQUE,6,ORG
Tesla,6,ORG
Moderate,6,LOC
Heterogeneous,6,LOC
Stool,6,GPE
nectar,6,PERSON
hemothorax s/p,6,ORG
Heparin,6,NORP
s/p wedge resection,6,ORG
PTX s/p,6,PERSON
three-minute,6,TIME
Pneumomediastinum,6,GPE
Lovenox,6,GPE
Atherosclerotic,6,ORG
LIKELY,6,ORG
coumadin,6,PERSON
RLL PNA,6,ORG
XR,6,ORG
p/w SOB,6,ORG
s/p PEG,6,ORG
"CA
  w/pneumothorax s",6,FAC
cva,6,ORG
adeno CA,6,PERSON
Valsalva,6,PERSON
hiatal hernia,6,LOC
SIADH,6,ORG
s/p bronch & PDT,6,ORG
"PTX
 _",6,WORK_OF_ART
s/p RULectomy,6,ORG
Basilar,6,GPE
Fibroid,6,ORG
s/p occipital crani,6,ORG
LE,6,WORK_OF_ART
groin,6,ORG
several hours earlier,6,TIME
SCL,6,ORG
HIDA,6,ORG
Cystic,6,NORP
LAD,6,GPE
apex,6,GPE
Oropharyngeal,6,NORP
Vasogenic,6,PERSON
"earlier the
 same day",6,DATE
Appropriate,6,ORG
six hours earlier,6,TIME
O.R.,6,ORG
Normal,6,GPE
CCY,6,ORG
EXT VEINS US RIGHT PORT                               Clip,6,ORG
"LUNG CANCER;HEMOPTYSIS
  Contrast",6,ORG
one hour earlier,6,TIME
Findings,6,GPE
evening,6,TIME
w/,6,DATE
Abnormal,6,PRODUCT
ICP,6,ORG
Periventricular,6,PERSON
Suprasellar,6,PRODUCT
"cva
  Contrast",6,ORG
Sternal,5,ORG
"LOBE NODULE/SDA
 Field",5,ORG
Ommaya,5,PERSON
+IV,5,GPE
AV,5,ORG
Embolization,5,WORK_OF_ART
SOB,5,PERSON
s/p swan,5,ORG
Vaxcel,5,PRODUCT
Fluid,5,PRODUCT
Unchanged,5,LOC
Ommaya reservoir,5,ORG
Lymphoma,5,GPE
Images,5,ORG
lung parenchyma,5,PERSON
CCU,5,ORG
Helical CT,5,ORG
Hemothorax,5,ORG
Hypoxic,5,ORG
SCLC,5,NORP
"PTX
 Admitting Diagnosis",5,PERSON
HCV,5,ORG
Mediastinal,5,PERSON
Lymphangitic,5,LOC
MRV CHEST W&W/O CONTRAST                                        Clip,5,ORG
INFECTION;BACK,5,ORG
Demonstrate,5,ORG
TBM,5,ORG
SEPSIS,5,ORG
STRUCTURE,5,LAW
Lung CA.,5,PERSON
four days ago,5,DATE
s/p R VATS,5,ORG
hemorrhagic pericarditis,5,PERSON
UIP,5,ORG
Punctate,5,ORG
WAND,5,NORP
PNX,5,ORG
Intraventricular,5,PERSON
Thin,5,ORG
five days ago,5,DATE
s/p LUL Lobectomy,5,ORG
Hypodensities,5,GPE
UNILAT LOWER EXT VEINS                                          Clip,5,ORG
LFT,5,ORG
RECONSTRUCTIONS,5,ORG
LUNG NODULE,5,PERSON
JWK FRI,5,ORG
"CA
 Admitting Diagnosis",5,FAC
s/p PA,5,ORG
seven hours earlier,5,TIME
"s/p
  STEMI",5,ORG
U/S,5,ORG
facet,5,ORG
Normal,5,PERSON
PULMONARY,5,PERSON
a few hours earlier,5,TIME
DJD,5,ORG
REPEAT,5,ORG
PEL/LOWER EXT,5,ORG
Lumbar,5,GPE
STAT,5,ORG
UNILAT LOWER EXT VEINS LEFT                                     Clip,5,ORG
RVATS,5,ORG
this afternoon,5,TIME
RM,5,GPE
Cobra,5,PERSON
PEG,5,PERSON
ORDER ABD/,5,ORG
EG,5,GPE
RENAL,5,PERSON
s/p SMA,5,ORG
WF s/p Right VATS,5,ORG
Diverticulosis,5,ORG
MAC,5,ORG
Left CVL,5,PERSON
s/p cabg,5,ORG
Rt,5,NORP
FDG PET,5,ORG
Routine non-contrast,5,PERSON
ngt,5,PERSON
Neurology,5,PERSON
the morning,5,TIME
the afternoon,5,TIME
G/GJ TUBE CHECK,5,ORG
hx;lung,5,GPE
Left lung collapse,5,PERSON
earlier this morning,5,TIME
Angio-Seal,5,ORG
NSCLC s/p LUL,5,ORG
Assess ET,5,ORG
Hiatal hernia,5,LOC
Two minutes,5,TIME
CT L-SPINE W/O CONTRAST                Clip,5,ORG
ET,5,GPE
OptEase,5,ORG
two weeks ago,5,DATE
Anasarca,5,ORG
Subarachnoid,5,PERSON
Cough,5,GPE
Moderate,5,GPE
LUL NSCLC s/p LUL,5,ORG
hypercarbia,5,GPE
CCC,5,ORG
Suspect,5,LOC
Radiopaque,5,NORP
Large,5,NORP
Trauma,5,PERSON
"earlier
 the same date",5,DATE
LCpc FRI,5,PRODUCT
NON-CONTRAST CT,5,ORG
Ultrasound,5,PERSON
PM,5,TIME
NEEDLE BIO,5,ORG
L PTX s/p Ctube,5,ORG
DUPLEX,5,ORG
nine hours,5,TIME
Today,5,DATE
Mastoid,5,ORG
"RLL PNA
 REASON FOR THIS EXAMINATION",5,ORG
Evaluate NG,5,ORG
Nonspecific,5,ORG
s/p CT pull,5,ORG
Friday,5,DATE
Berenstein,5,PERSON
HCT,5,ORG
Wedge,5,NORP
RENAL,5,ORG
Tube,5,ORG
carcinoid,5,PERSON
Lingular,4,ORG
Nodular,4,NORP
AFib,4,ORG
Fluid,4,NORP
obatin,4,PRODUCT
STC,4,ORG
Enteric,4,ORG
"s/p
  LUL",4,ORG
Lung volumes,4,PERSON
last night,4,TIME
approximately one hour earlier,4,TIME
DTI,4,ORG
FLUOROSCOPY,4,ORG
RCC,4,ORG
s/p right lower,4,ORG
SP,4,NORP
R.                   MED MICU,4,ORG
hep C,4,GPE
"\
 Admitting Diagnosis",4,PERSON
GB,4,GPE
RFA,4,PERSON
bleedPLEASE PERFORM,4,PERSON
"CONTROL
  Contrast",4,ORG
NSTEMI,4,ORG
Hepatocellular Ca s/p VATS,4,PERSON
CMC,4,ORG
ISCHEMIC BOWEL NOW,4,ORG
Vague,4,ORG
"IR
 _",4,ORG
delta MS,4,ORG
Faint,4,FAC
s/p MVA,4,ORG
"IR
 Admitting Diagnosis",4,ORG
DHFT,4,ORG
Glidewire,4,ORG
Loss,4,PERSON
pancytopenia,4,GPE
CA  s/p,4,PERSON
OSH,4,ORG
Stx Bx,4,PERSON
L VATS,4,GPE
CyberKnife,4,ORG
MPtb MON,4,PERSON
"ASSESS AIRWAY INVOLVEMENT OF TUMOR
 Field",4,ORG
PACU,4,LOC
"eval PTX
 Admitting Diagnosis",4,PERSON
Perihepatic,4,LAW
"earlier the same
 date",4,DATE
SUPINE,4,ORG
MVC,4,ORG
ICH s/p,4,ORG
MPtb SUN,4,PERSON
Mucosal,4,PERSON
adenoma,4,GPE
hemorrhagic metastases,4,ORG
Color Doppler,4,PERSON
s/p right pleural tube,4,ORG
Left,4,ORG
EET,4,ORG
ARF,4,ORG
Arterial,4,ORG
Afib,4,PERSON
approximately half,4,CARDINAL
SCLCA,4,ORG
HAP,4,ORG
Left subclavian CV,4,PERSON
Axially,4,ORG
Hardware,4,ORG
Differential,4,GPE
Bard,4,ORG
intracranial mass,4,ORG
"VATS
  + LUL",4,ORG
CA,4,PRODUCT
Edema,4,PERSON
LAD s/p,4,ORG
bilat,4,GPE
approximately two hours,4,TIME
Dipyridamole,4,PERSON
Gynecomastia,4,PERSON
Abrupt,4,PERSON
Adrenal,4,ORG
L CT,4,ORG
PEL,4,ORG
ORDER BRANCH,4,ORG
Internal Medicine,4,ORG
STENT,4,PERSON
nsclc s/p,4,PERSON
L PTX,4,ORG
NC,4,GPE
S/P MVR,4,ORG
MPR,4,ORG
pleura,4,GPE
FILM,4,PERSON
Blood,4,FAC
Persisting,4,GPE
PNTX,4,ORG
LEFT LOWER EXTREMITY ULTRASOUND,4,ORG
LEFT,4,LOC
Lymphadenopathy,4,PERSON
S/P STENT,4,ORG
ABI,4,ORG
s/p cabg s/p sternal,4,ORG
"LUNG CA/SDA
 Field",4,PERSON
Please,4,ORG
"s/p
  doxycycline",4,ORG
UE,4,GPE
MCP,4,ORG
later this week,4,DATE
